date,contract,contract_m,open,high,low,close,fluctuation,fluctuation_percent,volume,settlement,open_interest,last_best_buy,last_bset_sell,h_high,h_low
2015/1/16,TX,201501,9175,9229,9082,9115,-79,-0.86%,160290,9115,54646,9115,9117,9343,8853
2015/1/19,TX,201501,9211,9260,9142,9181,66,0.72%,134142,9181,40858,9181,9183,9343,8853
2015/1/20,TX,201501,9220,9269,9183,9268,87,0.95%,121592,9267,34707,9268,9269,9343,8853
2015/1/21,TX,201501,9282,9316,9274,9308,41,0.44%,64253,0,21565,9308,9309,9343,8853
2015/1/22,TX,201502,9360,9404,9342,9388,78,0.84%,108180,9388,56872,9387,9388,9404,8856
2015/1/23,TX,201502,9455,9488,9443,9461,73,0.78%,92808,9461,58684,9461,9463,9488,8856
2015/1/26,TX,201502,9448,9478,9433,9466,5,0.05%,68310,9465,61021,9466,9468,9488,8856
2015/1/27,TX,201502,9522,9539,9480,9523,58,0.61%,90397,9523,63259,9522,9523,9539,8856
2015/1/28,TX,201502,9478,9534,9474,9526,3,0.03%,75013,9527,63640,9526,9528,9539,8856
2015/1/29,TX,201502,9497,9502,9426,9428,-99,-1.04%,116368,9428,63799,9428,9429,9539,8856
2015/1/30,TX,201502,9460,9472,9385,9400,-28,-0.30%,97244,9398,62464,9400,9401,9539,8856
2015/2/2,TX,201502,9389,9433,9370,9419,21,0.22%,85483,9420,67710,9419,9420,9539,8856
2015/2/3,TX,201502,9434,9485,9407,9464,44,0.47%,95115,9464,67911,9464,9465,9539,8856
2015/2/4,TX,201502,9526,9556,9512,9521,57,0.60%,86781,9522,64468,9521,9522,9556,8856
2015/2/5,TX,201502,9521,9521,9470,9514,-8,-0.08%,79030,9513,63524,9513,9514,9556,8856
2015/2/6,TX,201502,9536,9543,9459,9469,-44,-0.46%,96048,9470,61419,9469,9470,9556,8856
2015/2/9,TX,201502,9439,9466,9416,9450,-20,-0.21%,78599,9451,62855,9450,9451,9556,8856
2015/2/10,TX,201502,9468,9473,9419,9432,-19,-0.20%,86724,9432,62607,9432,9433,9556,8856
2015/2/11,TX,201502,9462,9509,9457,9480,48,0.51%,88756,9476,55949,9479,9480,9556,8856
2015/2/12,TX,201502,9499,9500,9461,9480,4,0.04%,80128,9482,44581,9481,9482,9556,8856
2015/2/13,TX,201502,9510,9548,9505,9514,32,0.34%,85659,9514,30137,9514,9515,9556,8856
2015/2/24,TX,201502,9582,9640,9582,9622,108,1.14%,46780,0,20488,9622,9623,9640,8856
2015/2/25,TX,201503,9694,9696,9660,9684,36,0.37%,66977,9683,59601,9683,9684,9696,8296
2015/2/26,TX,201503,9691,9692,9633,9649,-34,-0.35%,72451,9648,60518,9648,9649,9696,8296
2015/3/2,TX,201503,9658,9683,9615,9631,-17,-0.18%,77036,9631,62267,9630,9631,9696,8296
2015/3/3,TX,201503,9645,9658,9580,9614,-17,-0.18%,88385,9614,64091,9614,9616,9696,8296
2015/3/4,TX,201503,9580,9638,9571,9622,8,0.08%,73997,9620,63675,9621,9622,9696,8296
2015/3/5,TX,201503,9622,9632,9551,9589,-31,-0.32%,94585,9586,63596,9588,9589,9696,8296
2015/3/6,TX,201503,9591,9644,9566,9638,52,0.54%,87662,9637,64717,9637,9639,9696,8296
2015/3/9,TX,201503,9580,9595,9547,9576,-61,-0.63%,89409,9574,65426,9576,9577,9696,8296
2015/3/10,TX,201503,9574,9585,9514,9528,-46,-0.48%,103983,9529,66104,9528,9529,9696,8296
2015/3/11,TX,201503,9466,9544,9450,9519,-10,-0.10%,103946,9519,65168,9519,9520,9696,8296
2015/3/12,TX,201503,9529,9609,9508,9607,88,0.92%,101568,9607,65737,9607,9609,9696,8296
2015/3/13,TX,201503,9616,9634,9584,9598,-9,-0.09%,82971,9598,58741,9598,9599,9696,8296
2015/3/16,TX,201503,9585,9594,9535,9546,-52,-0.54%,100282,9543,45975,9544,9546,9696,8296
2015/3/17,TX,201503,9580,9644,9547,9554,11,0.12%,123433,9556,33756,9554,9555,9696,8296
2015/3/18,TX,201503,9558,9649,9558,9633,77,0.81%,67737,0,23459,9632,9633,9696,8296
2015/3/19,TX,201504,9734,9769,9708,9766,92,0.95%,100024,9765,67293,9765,9768,9769,9458
2015/3/20,TX,201504,9742,9770,9733,9757,-8,-0.08%,66890,9757,68653,9757,9758,9770,9458
2015/3/23,TX,201504,9761,9769,9726,9749,-8,-0.08%,75804,9749,67038,9748,9750,9770,9458
2015/3/24,TX,201504,9728,9755,9696,9721,-28,-0.29%,89879,9720,66756,9720,9721,9770,9458
2015/3/25,TX,201504,9721,9731,9673,9689,-31,-0.32%,95109,9688,65742,9688,9689,9770,9458
2015/3/26,TX,201504,9580,9635,9567,9609,-79,-0.82%,110206,9611,65037,9609,9610,9770,9458
2015/3/27,TX,201504,9609,9628,9525,9541,-70,-0.73%,126327,9542,69172,9541,9542,9770,9458
2015/3/30,TX,201504,9511,9562,9511,9552,10,0.10%,83437,9553,69804,9552,9553,9770,9458
2015/3/31,TX,201504,9600,9610,9545,9582,29,0.30%,98624,9582,67892,9582,9583,9770,9458
2015/4/1,TX,201504,9540,9552,9487,9507,-75,-0.78%,111444,9508,70226,9507,9508,9770,9458
2015/4/2,TX,201504,9538,9630,9535,9613,105,1.10%,114119,9614,66997,9613,9615,9770,9458
2015/4/7,TX,201504,9653,9660,9612,9629,15,0.16%,72558,9629,66137,9629,9631,9770,9458
2015/4/8,TX,201504,9633,9635,9558,9570,-59,-0.61%,93175,9570,66108,9569,9570,9770,9458
2015/4/9,TX,201504,9579,9676,9564,9572,2,0.02%,149624,9570,63800,9570,9571,9770,9458
2015/4/10,TX,201504,9628,9665,9592,9631,61,0.64%,120457,9632,61304,9631,9632,9770,9458
2015/4/13,TX,201504,9673,9683,9633,9658,26,0.27%,93462,9657,46037,9658,9659,9770,9458
2015/4/14,TX,201504,9641,9672,9626,9645,-12,-0.12%,84520,9644,34603,9644,9645,9770,9458
2015/4/15,TX,201504,9626,9654,9507,9519,-125,-1.30%,83539,0,21668,9519,9520,9770,9458
2015/4/16,TX,201505,9561,9649,9548,9647,110,1.15%,125788,9644,59584,9646,9647,9777,9495
2015/4/17,TX,201505,9619,9629,9569,9584,-60,-0.62%,105924,9582,60329,9582,9584,9777,9495
2015/4/20,TX,201505,9530,9583,9506,9561,-21,-0.22%,124844,9563,64415,9561,9563,9777,9495
2015/4/21,TX,201505,9585,9613,9535,9556,-7,-0.07%,109112,9555,69114,9554,9556,9777,9495
2015/4/22,TX,201505,9561,9636,9561,9613,58,0.61%,140112,9614,61994,9612,9613,9777,9495
2015/4/23,TX,201505,9656,9854,9652,9838,224,2.33%,186347,9838,70807,9838,9839,9854,9495
2015/4/24,TX,201505,9880,10000,9860,9920,82,0.83%,206172,9920,70625,9920,9921,10000,9495
2015/4/27,TX,201505,9958,10031,9945,10019,99,1.00%,147811,10018,78010,10018,10019,10031,9495
2015/4/28,TX,201505,10022,10033,9963,9990,-28,-0.28%,105272,9990,78005,9990,9991,10033,9495
2015/4/29,TX,201505,9978,10022,9882,9909,-81,-0.81%,173931,9907,80383,9908,9909,10033,9495
2015/4/30,TX,201505,9902,9930,9858,9874,-33,-0.33%,130960,9877,82366,9874,9875,10033,9495
2015/5/4,TX,201505,9897,9911,9824,9886,9,0.09%,112699,9885,83389,9885,9886,10033,9495
2015/5/5,TX,201505,9866,9878,9814,9849,-36,-0.36%,102568,9848,82245,9847,9849,10033,9495
2015/5/6,TX,201505,9802,9865,9763,9847,-1,-0.01%,117999,9846,84210,9846,9847,10033,9495
2015/5/7,TX,201505,9786,9808,9745,9753,-93,-0.94%,130534,9752,82567,9752,9753,10033,9495
2015/5/8,TX,201505,9769,9783,9713,9721,-31,-0.32%,92550,9718,83315,9719,9721,10033,9495
2015/5/11,TX,201505,9800,9814,9657,9723,5,0.05%,155184,9722,84693,9722,9724,10033,9495
2015/5/12,TX,201505,9707,9748,9673,9706,-16,-0.16%,115207,9706,85899,9706,9707,10033,9495
2015/5/13,TX,201505,9712,9776,9697,9739,33,0.34%,114681,9739,86598,9739,9740,10033,9495
2015/5/14,TX,201505,9737,9741,9599,9604,-135,-1.39%,138661,9605,83769,9604,9605,10033,9495
2015/5/15,TX,201505,9635,9642,9541,9575,-30,-0.31%,129471,9576,75431,9575,9577,10033,9495
2015/5/18,TX,201505,9612,9614,9552,9598,22,0.23%,102650,9598,58654,9598,9599,10033,9495
2015/5/19,TX,201505,9616,9723,9602,9702,104,1.08%,131463,9703,40242,9702,9703,10033,9495
2015/5/20,TX,201505,9704,9725,9657,9668,-35,-0.36%,73133,0,28565,9668,9669,10033,9495
2015/5/21,TX,201506,9645,9648,9512,9541,-135,-1.40%,128659,9541,75045,9541,9543,10042,8427
2015/5/22,TX,201506,9562,9649,9546,9625,84,0.88%,110540,9627,71729,9625,9627,10042,8427
2015/5/25,TX,201506,9603,9640,9550,9630,3,0.03%,94010,9631,72597,9629,9631,10042,8427
2015/5/26,TX,201506,9613,9725,9606,9659,28,0.29%,113898,9659,70641,9659,9660,10042,8427
2015/5/27,TX,201506,9607,9698,9601,9661,2,0.02%,109490,9662,71025,9660,9662,10042,8427
2015/5/28,TX,201506,9711,9750,9683,9731,69,0.71%,113114,9729,71707,9730,9731,10042,8427
2015/5/29,TX,201506,9741,9765,9688,9703,-26,-0.27%,105530,9703,71949,9702,9703,10042,8427
2015/6/1,TX,201506,9668,9713,9601,9630,-73,-0.75%,117845,9630,74621,9630,9631,10042,8427
2015/6/2,TX,201506,9586,9639,9565,9607,-23,-0.24%,103681,9606,74102,9606,9607,10042,8427
2015/6/3,TX,201506,9640,9648,9535,9547,-59,-0.61%,124180,9548,73411,9547,9548,10042,8427
2015/6/4,TX,201506,9531,9553,9301,9310,-238,-2.49%,202135,9312,74137,9310,9312,10042,8427
2015/6/5,TX,201506,9324,9347,9269,9308,-4,-0.04%,125037,9309,72561,9308,9310,10042,8427
2015/6/8,TX,201506,9312,9404,9235,9348,39,0.42%,134575,9348,71143,9347,9350,10042,8427
2015/6/9,TX,201506,9303,9346,9201,9237,-111,-1.19%,142752,9235,73345,9235,9238,10042,8427
2015/6/10,TX,201506,9256,9328,9252,9284,49,0.53%,122486,9284,71755,9284,9285,10042,8427
2015/6/11,TX,201506,9328,9333,9224,9288,4,0.04%,119493,9285,70668,9286,9288,10042,8427
2015/6/12,TX,201506,9272,9314,9230,9267,-18,-0.19%,106398,9268,69517,9267,9268,10042,8427
2015/6/15,TX,201506,9272,9318,9220,9244,-24,-0.26%,119565,9245,54743,9244,9245,10042,8427
2015/6/16,TX,201506,9244,9258,9164,9215,-30,-0.32%,119914,9214,41874,9213,9215,10042,8427
2015/6/17,TX,201506,9215,9237,9177,9182,-32,-0.35%,61706,0,30920,9181,9182,10042,8427
2015/6/18,TX,201507,9044,9078,9011,9049,-5,-0.06%,101634,9048,51511,9048,9049,9635,9002
2015/6/22,TX,201507,9108,9203,9105,9182,134,1.48%,103562,9178,52986,9181,9182,9635,9002
2015/6/23,TX,201507,9221,9268,9208,9231,53,0.58%,106239,9230,53638,9230,9232,9635,9002
2015/6/24,TX,201507,9215,9248,9193,9247,17,0.18%,80540,9246,50706,9246,9248,9635,9002
2015/6/25,TX,201507,9268,9370,9263,9340,94,1.02%,134204,9342,52599,9340,9341,9635,9002
2015/6/26,TX,201507,9348,9348,9300,9321,-21,-0.22%,72218,9322,52267,9321,9322,9635,9002
2015/6/29,TX,201507,9195,9222,9109,9138,-184,-1.97%,128844,9139,52204,9138,9140,9635,9002
2015/6/30,TX,201507,9146,9217,9124,9212,73,0.80%,103641,9211,52632,9211,9212,9635,9002
2015/7/1,TX,201507,9185,9319,9184,9294,83,0.90%,124416,9292,53776,9293,9294,9635,9002
2015/7/2,TX,201507,9300,9325,9260,9277,-15,-0.16%,91473,9277,54459,9276,9278,9635,9002
2015/7/3,TX,201507,9258,9305,9171,9304,27,0.29%,133033,9301,54045,9304,9305,9635,9002
2015/7/6,TX,201507,9235,9297,9182,9197,-104,-1.12%,124973,9203,55037,9197,9199,9635,9002
2015/7/7,TX,201507,9260,9303,9210,9242,39,0.42%,131787,9242,55500,9242,9244,9635,9002
2015/7/8,TX,201507,9205,9210,8912,8943,-299,-3.24%,208496,8945,59901,8943,8946,9635,8912
2015/7/9,TX,201507,8801,8939,8724,8873,-72,-0.80%,193187,8875,56383,8873,8875,9635,8724
2015/7/13,TX,201507,8935,9005,8902,8994,119,1.34%,156806,8993,49625,8993,8994,9635,8724
2015/7/14,TX,201507,9040,9084,8982,8984,-9,-0.10%,136144,8983,32060,8983,8984,9635,8724
2015/7/15,TX,201507,9040,9078,8989,9030,47,0.52%,88463,0,18749,9029,9030,9635,8724
2015/7/16,TX,201508,8935,8983,8900,8918,28,0.31%,132945,8916,49950,8916,8918,9228,8598
2015/7/17,TX,201508,8906,8935,8871,8912,-4,-0.04%,112382,8913,49971,8912,8913,9228,8598
2015/7/20,TX,201508,8970,9027,8804,8851,-62,-0.70%,155272,8851,52536,8850,8851,9228,8598
2015/7/21,TX,201508,8887,8940,8815,8936,85,0.96%,130287,8937,49397,8936,8938,9228,8598
2015/7/22,TX,201508,8882,8883,8795,8815,-122,-1.37%,141837,8811,53402,8813,8815,9228,8598
2015/7/23,TX,201508,8778,8822,8670,8755,-56,-0.64%,172952,8753,56015,8755,8756,9228,8598
2015/7/24,TX,201508,8720,8740,8653,8684,-69,-0.79%,119108,8686,56686,8684,8685,9228,8598
2015/7/27,TX,201508,8637,8670,8493,8522,-164,-1.89%,166804,8525,57672,8522,8524,9228,8493
2015/7/28,TX,201508,8500,8591,8480,8541,16,0.19%,144721,8539,57612,8541,8543,9228,8480
2015/7/29,TX,201508,8533,8548,8440,8484,-55,-0.64%,163354,8485,59001,8484,8486,9228,8440
2015/7/30,TX,201508,8520,8632,8509,8610,125,1.47%,145799,8607,55442,8607,8610,9228,8440
2015/7/31,TX,201508,8593,8606,8508,8570,-37,-0.43%,134719,8575,56019,8570,8572,9228,8440
2015/8/3,TX,201508,8546,8548,8400,8452,-123,-1.43%,136785,8454,58181,8452,8455,9228,8400
2015/8/4,TX,201508,8487,8552,8416,8465,11,0.13%,167590,8464,57386,8463,8465,9228,8400
2015/8/5,TX,201508,8504,8547,8448,8523,59,0.70%,145106,8521,55204,8522,8523,9228,8400
2015/8/6,TX,201508,8541,8579,8366,8390,-131,-1.54%,179725,8390,61694,8389,8390,9228,8366
2015/8/7,TX,201508,8360,8423,8312,8389,-1,-0.01%,148962,8389,60707,8389,8391,9228,8312
2015/8/10,TX,201508,8405,8461,8345,8445,56,0.67%,143249,8442,60465,8442,8445,9228,8312
2015/8/11,TX,201508,8505,8556,8358,8360,-82,-0.97%,185332,8362,62127,8360,8361,9228,8312
2015/8/12,TX,201508,8365,8390,8243,8299,-63,-0.75%,184836,8301,58788,8299,8302,9228,8243
2015/8/13,TX,201508,8348,8363,8275,8306,5,0.06%,151639,8305,55762,8305,8307,9228,8243
2015/8/14,TX,201508,8262,8334,8262,8325,20,0.24%,112509,8326,49788,8325,8327,9228,8243
2015/8/17,TX,201508,8321,8330,8223,8238,-88,-1.06%,125957,8239,41615,8238,8240,9228,8223
2015/8/18,TX,201508,8241,8276,8161,8171,-68,-0.83%,130582,8172,29746,8170,8172,9228,8161
2015/8/19,TX,201508,8178,8179,7993,8002,-170,-2.08%,101864,0,19671,8002,8003,9228,7993
2015/8/20,TX,201509,7949,8040,7898,7976,6,0.08%,187942,7973,56205,7974,7977,9800,7898
2015/8/21,TX,201509,7858,7887,7740,7746,-227,-2.85%,174438,7744,59089,7746,7747,9800,7740
2015/8/24,TX,201509,7609,7676,7010,7340,-404,-5.22%,364785,7345,62046,7340,7343,9800,7010
2015/8/25,TX,201509,7400,7606,7318,7577,232,3.16%,233175,7572,62877,7574,7578,9800,7010
2015/8/26,TX,201509,7525,7678,7432,7607,35,0.46%,238178,7607,62797,7607,7609,9800,7010
2015/8/27,TX,201509,7656,7729,7631,7680,73,0.96%,169791,7679,62786,7678,7680,9800,7010
2015/8/28,TX,201509,7812,7902,7791,7876,197,2.57%,167248,7871,62694,7874,7876,9800,7010
2015/8/31,TX,201509,7831,8034,7802,7969,98,1.25%,144165,7973,60455,7969,7971,9800,7010
2015/9/1,TX,201509,7901,7964,7802,7834,-139,-1.74%,174196,7829,58484,7832,7834,9800,7010
2015/9/2,TX,201509,7768,7997,7761,7945,116,1.48%,197665,7938,56438,7944,7946,9800,7010
2015/9/3,TX,201509,7961,8003,7874,7977,39,0.49%,151197,7975,56461,7976,7978,9800,7010
2015/9/4,TX,201509,7931,8039,7872,7890,-85,-1.07%,176043,7894,55877,7888,7891,9800,7010
2015/9/7,TX,201509,7850,8008,7843,7932,38,0.48%,169579,7930,56030,7930,7932,9800,7010
2015/9/8,TX,201509,7930,7979,7880,7976,46,0.58%,137093,7972,57008,7974,7976,9800,7010
2015/9/9,TX,201509,8114,8340,8104,8332,360,4.52%,194442,8334,56963,8332,8335,9800,7010
2015/9/10,TX,201509,8226,8292,8192,8262,-72,-0.86%,146244,8265,52456,8261,8263,9800,7010
2015/9/11,TX,201509,8221,8295,8202,8263,-2,-0.02%,120481,8266,48363,8262,8264,9800,7010
2015/9/14,TX,201509,8319,8340,8210,8273,7,0.08%,149956,8275,47883,8272,8274,9800,7010
2015/9/15,TX,201509,8300,8333,8230,8237,-38,-0.46%,137170,8237,35916,8237,8238,9800,7010
2015/9/16,TX,201509,8310,8358,8270,8318,81,0.98%,80906,0,26816,8318,8319,9800,7010
2015/9/17,TX,201510,8368,8478,8364,8437,161,1.95%,141074,8441,46690,8437,8439,8478,7000
2015/9/18,TX,201510,8418,8459,8383,8437,-4,-0.05%,122478,8438,47171,8437,8439,8478,7000
2015/9/21,TX,201510,8328,8335,8233,8270,-168,-1.99%,126365,8270,48025,8268,8271,8478,7000
2015/9/22,TX,201510,8295,8340,8276,8330,60,0.73%,99115,8331,48462,8328,8331,8478,7000
2015/9/23,TX,201510,8234,8250,8135,8140,-191,-2.29%,138538,8142,51820,8140,8143,8478,7000
2015/9/24,TX,201510,8188,8219,8047,8091,-51,-0.63%,163890,8090,52667,8091,8092,8478,7000
2015/9/25,TX,201510,8142,8152,8033,8120,30,0.37%,161413,8119,51440,8120,8123,8478,7000
2015/9/30,TX,201510,8015,8178,7983,8135,16,0.20%,165188,8135,54898,8135,8137,8478,7000
2015/10/1,TX,201510,8174,8330,8116,8309,174,2.14%,178858,8307,55337,8307,8309,8478,7000
2015/10/2,TX,201510,8283,8319,8254,8277,-30,-0.36%,104901,8278,52218,8276,8278,8478,7000
2015/10/5,TX,201510,8358,8377,8275,8335,57,0.69%,131099,8331,52111,8332,8335,8478,7000
2015/10/6,TX,201510,8431,8478,8365,8370,39,0.47%,147140,8369,51716,8368,8371,8478,7000
2015/10/7,TX,201510,8377,8497,8357,8492,123,1.47%,140147,8491,55430,8490,8492,8497,7000
2015/10/8,TX,201510,8534,8544,8422,8441,-50,-0.59%,142571,8443,52788,8441,8443,8544,7000
2015/10/12,TX,201510,8494,8580,8464,8552,109,1.29%,125543,8552,54769,8552,8554,8580,7000
2015/10/13,TX,201510,8554,8575,8511,8553,1,0.01%,99975,8557,51628,8553,8555,8580,7000
2015/10/14,TX,201510,8521,8554,8492,8519,-38,-0.44%,108262,8520,50332,8519,8521,8580,7000
2015/10/15,TX,201510,8565,8668,8565,8608,88,1.03%,138824,8609,50536,8608,8610,8668,7000
2015/10/16,TX,201510,8588,8627,8571,8607,-2,-0.02%,98558,8607,46678,8607,8608,8668,7000
2015/10/19,TX,201510,8627,8670,8588,8624,17,0.20%,117062,8623,39354,8622,8624,8670,7000
2015/10/20,TX,201510,8644,8663,8629,8659,36,0.42%,83770,8659,28715,8658,8660,8670,7000
2015/10/21,TX,201510,8690,8704,8593,8617,-42,-0.49%,71803,0,18125,8616,8617,8704,7000
2015/10/22,TX,201511,8588,8633,8566,8595,-13,-0.15%,97736,8595,53403,8594,8596,8700,7966
2015/10/23,TX,201511,8742,8752,8669,8692,97,1.13%,108905,8694,52739,8692,8694,8752,7966
2015/10/26,TX,201511,8730,8765,8716,8736,42,0.48%,79592,8733,54998,8734,8736,8765,7966
2015/10/27,TX,201511,8722,8728,8655,8691,-42,-0.48%,99136,8694,56394,8691,8693,8765,7966
2015/10/28,TX,201511,8685,8710,8613,8638,-56,-0.64%,115433,8638,55753,8637,8639,8765,7966
2015/10/29,TX,201511,8681,8685,8545,8550,-88,-1.02%,142670,8547,56284,8548,8550,8765,7966
2015/10/30,TX,201511,8560,8600,8484,8568,21,0.25%,155466,8570,54560,8568,8570,8765,7966
2015/11/2,TX,201511,8535,8598,8502,8583,13,0.15%,114793,8587,55278,8583,8585,8765,7966
2015/11/3,TX,201511,8665,8740,8645,8721,134,1.56%,123033,8719,55739,8720,8721,8765,7966
2015/11/4,TX,201511,8765,8900,8751,8882,163,1.87%,160402,8882,56697,8882,8884,8900,7966
2015/11/5,TX,201511,8879,8899,8832,8870,-12,-0.14%,96100,8872,53112,8870,8871,8900,7966
2015/11/6,TX,201511,8850,8858,8650,8689,-183,-2.06%,185282,8689,53650,8689,8691,8900,7966
2015/11/9,TX,201511,8677,8748,8597,8631,-58,-0.67%,165493,8628,54573,8629,8631,8900,7966
2015/11/10,TX,201511,8581,8592,8512,8532,-96,-1.11%,131070,8533,54646,8532,8534,8900,7966
2015/11/11,TX,201511,8507,8549,8372,8380,-153,-1.79%,179202,8378,58252,8379,8381,8900,7966
2015/11/12,TX,201511,8404,8461,8354,8461,83,0.99%,148495,8459,55241,8458,8461,8900,7966
2015/11/13,TX,201511,8380,8472,8318,8356,-103,-1.22%,178126,8356,52459,8356,8357,8900,7966
2015/11/16,TX,201511,8245,8307,8212,8290,-66,-0.79%,139331,8288,43622,8288,8290,8900,7966
2015/11/17,TX,201511,8370,8490,8369,8440,152,1.83%,152201,8437,31131,8439,8440,8900,7966
2015/11/18,TX,201511,8440,8450,8326,8336,-101,-1.20%,81613,0,18567,8335,8336,8900,7966
2015/11/19,TX,201512,8371,8460,8323,8447,167,2.02%,155548,8447,53536,8446,8447,9800,6954
2015/11/20,TX,201512,8430,8475,8396,8444,-3,-0.04%,114281,8443,53617,8443,8444,9800,6954
2015/11/23,TX,201512,8488,8511,8407,8478,35,0.41%,124827,8481,56095,8478,8480,9800,6954
2015/11/24,TX,201512,8461,8494,8362,8402,-79,-0.93%,159334,8401,55837,8400,8402,9800,6954
2015/11/25,TX,201512,8412,8418,8320,8388,-13,-0.15%,137748,8384,54333,8386,8388,9800,6954
2015/11/26,TX,201512,8412,8525,8410,8502,118,1.41%,134327,8499,52280,8500,8502,9800,6954
2015/11/27,TX,201512,8520,8534,8377,8393,-106,-1.25%,137736,8390,53366,8392,8393,9800,6954
2015/11/30,TX,201512,8311,8345,8202,8300,-90,-1.07%,167237,8297,56092,8298,8299,9800,6954
2015/12/1,TX,201512,8360,8463,8317,8456,159,1.92%,158141,8456,52893,8456,8457,9800,6954
2015/12/2,TX,201512,8433,8510,8415,8452,-4,-0.05%,146804,8452,51719,8452,8454,9800,6954
2015/12/3,TX,201512,8388,8490,8363,8476,24,0.28%,147876,8470,53556,8475,8476,9800,6954
2015/12/4,TX,201512,8361,8410,8326,8397,-73,-0.86%,142112,8393,51363,8396,8397,9800,6954
2015/12/7,TX,201512,8495,8550,8455,8468,75,0.89%,140025,8470,51385,8465,8468,9800,6954
2015/12/8,TX,201512,8438,8451,8318,8334,-136,-1.61%,148126,8331,54632,8332,8334,9800,6954
2015/12/9,TX,201512,8311,8328,8212,8221,-110,-1.32%,155405,8220,55490,8220,8222,9800,6954
2015/12/10,TX,201512,8182,8208,8101,8188,-32,-0.39%,173415,8188,56805,8187,8188,9800,6954
2015/12/11,TX,201512,8200,8220,8068,8071,-117,-1.43%,164753,8070,56558,8069,8071,9800,6954
2015/12/14,TX,201512,7976,8065,7949,8058,-12,-0.15%,144310,8060,41409,8058,8060,9800,6954
2015/12/15,TX,201512,8077,8137,8048,8066,6,0.07%,139344,8065,29097,8066,8068,9800,6954
2015/12/16,TX,201512,8180,8209,8112,8198,133,1.65%,87705,0,19128,8197,8198,9800,6954
2015/12/17,TX,201601,8202,8303,8176,8281,111,1.36%,144410,8282,51966,8281,8282,8545,7940
2015/12/18,TX,201601,8248,8319,8206,8231,-51,-0.62%,145205,8229,51716,8229,8231,8545,7940
2015/12/21,TX,201601,8173,8283,8133,8280,51,0.62%,137963,8280,53519,8281,8282,8545,7940
2015/12/22,TX,201601,8257,8297,8220,8277,-3,-0.04%,126517,8275,53102,8274,8277,8545,7940
2015/12/23,TX,201601,8301,8347,8267,8290,15,0.18%,134900,8288,54301,8286,8290,8545,7940
2015/12/24,TX,201601,8346,8388,8293,8317,29,0.35%,114489,8317,54540,8315,8319,8545,7940
2015/12/25,TX,201601,8335,8378,8306,8376,59,0.71%,69641,8374,53283,8375,8377,8545,7940
2015/12/28,TX,201601,8370,8394,8349,8356,-18,-0.21%,74401,8354,52370,8355,8356,8545,7940
2015/12/29,TX,201601,8321,8347,8263,8287,-67,-0.80%,110566,8288,52059,8287,8288,8545,7940
2015/12/30,TX,201601,8313,8329,8226,8260,-28,-0.34%,115891,8258,51856,8259,8261,8545,7940
2015/12/31,TX,201601,8240,8300,8234,8272,14,0.17%,103781,8275,51299,8272,8274,8545,7940
